dominio,resolvedor,status
tvhd.pepricesaskeloadsc.com,200.80.203.76,"REFUSED,"
www.ragingbullcampaign.com,200.80.203.76,"REFUSED,"
www.ragingbullcampaign.com,200.80.203.76,"REFUSED,"
www.mnr.gov.cn,200.80.203.76,"REFUSED,"
www.cencoex.gob.ve,200.80.203.76,"REFUSED,"
pwchyt.awsvpni.com,200.80.203.76,"REFUSED,"
ariacorinamundo.com,200.80.203.76,"REFUSED,"
comanditos.com,200.80.203.76,"REFUSED,"
notiviasve.com,200.80.203.76,"REFUSED,"
cloudapp.net,200.80.203.76,"REFUSED,"
blob.core.windows.net,200.80.203.76,"REFUSED,"
azurewebsites.net,200.80.203.76,"REFUSED,"
pelisplus.me,200.80.203.76,"REFUSED,"
vamosganar.com,200.80.203.76,"REFUSED,"
www.mariacorinapresidente.com,200.80.203.76,"REFUSED,"
cdninstagram.com,200.80.203.76,TIMEOUT
www.cne.gob.ve,200.80.203.76,"REFUSED,"
surbitcoin.com,200.80.203.76,"REFUSED,"
www.match.com,200.80.203.76,"REFUSED,"
primariaexteriorve.com,200.80.203.76,"REFUSED,"
primariaexteriorve.com,200.80.203.76,"REFUSED,"
use-application-dns.net,200.80.203.76,"REFUSED,"
d3l0kqj5h9z9zs.cloudfront.net,200.80.203.76,"REFUSED,"
www.museomarino.com,200.80.203.76,"REFUSED,"
noticiasvenezuela.org,200.80.203.76,"REFUSED,"
www.llamagaming.com,200.80.203.76,TIMEOUT
tvhd.pe,200.80.203.76,"REFUSED,"
pricesaskeloadsc.com,200.80.203.76,"REFUSED,"
www.ragingbullcampaign.com,200.80.203.76,"REFUSED,"
www.ragingbullcampaign.com,200.80.203.76,"REFUSED,"
www.mnr.gov.cn,200.80.203.76,"REFUSED,"
www.cencoex.gob.ve,200.80.203.76,"REFUSED,"
pwchyt.awsvpni.com,200.80.203.76,"REFUSED,"
mariacorinamundo.com,200.80.203.76,"REFUSED,"
comanditos.com,200.80.203.76,"REFUSED,"
notiviasve.com,200.80.203.76,TIMEOUT
ooni.cloudflare-dns.comdns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,200.80.203.76,"REFUSED,"
cantv.net,200.80.203.76,"REFUSED,"
cloudapp.net,200.80.203.76,"REFUSED,"
blob.core.windows.net,200.80.203.76,"REFUSED,"
azurewebsites.net,200.80.203.76,"REFUSED,"
pelisplus.me,200.80.203.76,"REFUSED,"
vamosganar.com,200.80.203.76,"REFUSED,"
www.mariacorinapresidente.com,200.80.203.76,"REFUSED,"
cdninstagram.com,200.80.203.76,"REFUSED,"
www.cne.gob.ve,200.80.203.76,TIMEOUT
surbitcoin.com,200.80.203.76,"REFUSED,"
partidounnuevotiempo.org,200.80.203.76,"REFUSED,"
www.match.com,200.80.203.76,"REFUSED,"
primariaexteriorve.com,200.80.203.76,"REFUSED,"
primariaexteriorve.com,200.80.203.76,"REFUSED,"
d3l0kqj5h9z9zs.cloudfront.net,200.80.203.76,"REFUSED,"
www.museomarino.com,200.80.203.76,"REFUSED,"
vocesenlibertad.com,200.80.203.76,"REFUSED,"
caminic.com,200.80.203.76,"REFUSED,"
www.radiomaria.org.ni,200.80.203.76,TIMEOUT
asodenic.org.ni,200.80.203.76,"REFUSED,"
grupovenancia.org,200.80.203.76,"REFUSED,"
www.allactionhost.comes-niweb-hosting,200.80.203.76,"REFUSED,"
apen.org.ni,200.80.203.76,"REFUSED,"
puntos.org.ni,200.80.203.76,"REFUSED,"
root-key-sentinel-is-ta-38696.d2a8n3.rootcanary.net,200.80.203.76,"REFUSED,"
root-key-sentinel-not-ta-20326.d2a8n3.rootcanary.net,200.80.203.76,"REFUSED,"
bogus.d2a8n1.rootcanary.net,200.80.203.76,"REFUSED,"
alpha66.org,200.80.203.76,"REFUSED,"
www.alpha66.org,200.80.203.76,"REFUSED,"
www.alpha66.org,200.80.203.76,TIMEOUT
www.abelsierramadero.com,200.80.203.76,"REFUSED,"
www.consensocubano.org,200.80.203.76,"REFUSED,"
https:911truth.org,200.80.203.76,"REFUSED,"
alpha66.org,200.80.203.76,"REFUSED,"
www.cubamemorial.net,200.80.203.76,"REFUSED,"
www.miscelaneasdecuba.net,200.80.203.76,"REFUSED,"
www.miscelaneasdecuba.net,200.80.203.76,"REFUSED,"
miscelaneasdecuba.net,200.80.203.76,"REFUSED,"
miscelaneasdecuba.net,200.80.203.76,"REFUSED,"
en-ville.orange.fr,200.80.203.76,"REFUSED,"
example.domain.com,200.80.203.76,"REFUSED,"
docs.domain.com,200.80.203.76,"REFUSED,"
archivos.domain.com,200.80.203.76,"REFUSED,"
www.sedem.org.gt,200.80.203.76,"REFUSED,"
www.frmt.org,200.80.203.76,TIMEOUT
extratorrent.cc,200.80.203.76,"REFUSED,"
www.serpaj.org,200.80.203.76,"REFUSED,"
www.metacafe.com,200.80.203.76,"REFUSED,"
www.atimes.com,200.80.203.76,"REFUSED,"
www.asstr.org,200.80.203.76,"REFUSED,"
www.topcities.com,200.80.203.76,"REFUSED,"
www.elmundo.com.ve,200.80.203.76,"REFUSED,"
www.religioustolerance.org,200.80.203.76,"REFUSED,"
www.wikispaces.com,200.80.203.76,"REFUSED,"
check.googlezip.netconnect,200.80.203.76,TIMEOUT
check.googlezip.net,200.80.203.76,"REFUSED,"
bloquedearmas.com,200.80.203.76,"REFUSED,"
extratorrent.cc,200.80.203.76,"REFUSED,"
www.topcities.com,200.80.203.76,"REFUSED,"
diariodecaracas.com,200.80.203.76,"REFUSED,"
w3.ibm.comdeveloperhacktoberfest,200.80.203.76,"REFUSED,"
thepiratebay.se,200.80.203.76,"REFUSED,"
www.fgmnetwork.org,200.80.203.76,"REFUSED,"
www.kazaa.com,200.80.203.76,"REFUSED,"
shareaza.com,200.80.203.76,TIMEOUT
www.malware.com,200.80.203.76,"REFUSED,"
use-application-dns.net,200.80.203.76,"REFUSED,"
www.diariouno.net.ar,200.80.203.76,"REFUSED,"
premiumhentaiclub.co,200.80.203.76,"REFUSED,"
www.mapuchenative.com,200.80.203.76,"REFUSED,"
www.diarioextra.com.ar,200.80.203.76,"REFUSED,"
clarin.com.ar,200.80.203.76,"REFUSED,"
www.serpaj.org,200.80.203.76,"REFUSED,"
www.diarioaccion.com.ar,200.80.203.76,"REFUSED,"
www.agendadelasmujeres.com.ar,200.80.203.76,TIMEOUT
