dominio,resolvedor,status
vocesenlibertad.com,164.163.74.82,TIMEOUT
caminic.com,164.163.74.82,"SERVFAIL,"
www.radiomaria.org.ni,164.163.74.82,"NOERROR,"
asodenic.org.ni,164.163.74.82,"SERVFAIL,"
grupovenancia.org,164.163.74.82,"SERVFAIL,"
www.allactionhost.com/es-ni/web-hosting,164.163.74.82,"SERVFAIL,"
apen.org.ni,164.163.74.82,"NXDOMAIN,"
puntos.org.ni,164.163.74.82,"NOERROR,"
root-key-sentinel-is-ta-38696.d2a8n3.rootcanary.net,164.163.74.82,"NOERROR,"
root-key-sentinel-not-ta-20326.d2a8n3.rootcanary.net,164.163.74.82,"NOERROR,"
bogus.d2a8n1.rootcanary.net,164.163.74.82,"NOERROR,"
alpha66.org,164.163.74.82,"SERVFAIL,"
www.alpha66.org,164.163.74.82,"SERVFAIL,"
www.alpha66.org,164.163.74.82,"SERVFAIL,"
www.abelsierramadero.com,164.163.74.82,"SERVFAIL,"
www.consensocubano.org,164.163.74.82,"NOERROR,"
www.es-us.noticias.yahoo.com,164.163.74.82,"SERVFAIL,"
https:911truth.org,164.163.74.82,"NXDOMAIN,"
alpha66.org,164.163.74.82,"NXDOMAIN,"
www.cubamemorial.net,164.163.74.82,"SERVFAIL,"
www.miscelaneasdecuba.net,164.163.74.82,"SERVFAIL,"
www.miscelaneasdecuba.net,164.163.74.82,"NOERROR,"
miscelaneasdecuba.net,164.163.74.82,"NOERROR,"
miscelaneasdecuba.net,164.163.74.82,"NOERROR,"
en-ville.orange.fr,164.163.74.82,"NOERROR,"
example.domain.com,164.163.74.82,"NOERROR,"
docs.domain.com,164.163.74.82,"NOERROR,"
archivos.domain.com,164.163.74.82,"NOERROR,"
www.sedem.org.gt,164.163.74.82,"NOERROR,"
www.frmt.org,164.163.74.82,"SERVFAIL,"
extratorrent.cc,164.163.74.82,"SERVFAIL,"
www.serpaj.org,164.163.74.82,"NOERROR,"
www.metacafe.com,164.163.74.82,"SERVFAIL,"
www.atimes.com,164.163.74.82,"SERVFAIL,"
www.asstr.org,164.163.74.82,TIMEOUT
www.topcities.com,164.163.74.82,TIMEOUT
www.elmundo.com.ve,164.163.74.82,"SERVFAIL,"
www.religioustolerance.org,164.163.74.82,"SERVFAIL,"
www.wikispaces.com,164.163.74.82,"SERVFAIL,"
check.googlezip.net/connect,164.163.74.82,"NOERROR,"
check.googlezip.net,164.163.74.82,"NXDOMAIN,"
bloquedearmas.com,164.163.74.82,"NOERROR,"
extratorrent.cc,164.163.74.82,"NOERROR,"
www.topcities.com,164.163.74.82,TIMEOUT
rates.airtm.io,164.163.74.82,"SERVFAIL,"
w3.ibm.com/developer/hacktoberfest,164.163.74.82,"NOERROR,"
thepiratebay.se,164.163.74.82,"NXDOMAIN,"
www.fgmnetwork.org,164.163.74.82,TIMEOUT
www.kazaa.com,164.163.74.82,"SERVFAIL,"
shareaza.com,164.163.74.82,"SERVFAIL,"
www.malware.com,164.163.74.82,"SERVFAIL,"
use-application-dns.net,164.163.74.82,"SERVFAIL,"
www.diariouno.net.ar,164.163.74.82,"NOERROR,"
premiumhentaiclub.co,164.163.74.82,"NOERROR,"
www.mapuchenative.com,164.163.74.82,"NOERROR,"
www.diarioextra.com.ar,164.163.74.82,"SERVFAIL,"
clarin.com.ar,164.163.74.82,"SERVFAIL,"
www.serpaj.org,164.163.74.82,"NOERROR,"
www.diarioaccion.com.ar,164.163.74.82,"SERVFAIL,"
www.agendadelasmujeres.com.ar,164.163.74.82,"SERVFAIL,"
www.cencoex.gob.ve,164.163.74.82,"NOERROR,"
pwchyt.awsvpni.com,164.163.74.82,"SERVFAIL,"
mariacorinamundo.com,164.163.74.82,"NOERROR,"
comanditos.com,164.163.74.82,"NOERROR,"
notiviasve.com,164.163.74.82,"NOERROR,"
ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,164.163.74.82,"NOERROR,"
cantv.net,164.163.74.82,"NXDOMAIN,"
cloudapp.net,164.163.74.82,"NOERROR,"
blob.core.windows.net,164.163.74.82,"NOERROR,"
azurewebsites.net,164.163.74.82,"NOERROR,"
pelisplus.me,164.163.74.82,"NOERROR,"
vamosganar.com,164.163.74.82,"SERVFAIL,"
www.mariacorinapresidente.com,164.163.74.82,TIMEOUT
cdninstagram.com,164.163.74.82,"SERVFAIL,"
www.cne.gob.ve,164.163.74.82,"NOERROR,"
surbitcoin.com,164.163.74.82,"NOERROR,"
www.teenhealthfx.com,164.163.74.82,"SERVFAIL,"
partidounnuevotiempo.org,164.163.74.82,"NOERROR,"
primariaexteriorve.com,164.163.74.82,"SERVFAIL,"
primariaexteriorve.com,164.163.74.82,"NOERROR,"
use-application-dns.net,164.163.74.82,"NOERROR,"
d3l0kqj5h9z9zs.cloudfront.net,164.163.74.82,"NOERROR,"
www.museomarino.com,164.163.74.82,TIMEOUT
tvhd.pe,164.163.74.82,"SERVFAIL,"
pricesaskeloadsc.com,164.163.74.82,TIMEOUT
www.ragingbullcampaign.com,164.163.74.82,"NOERROR,"
www.ragingbullcampaign.com,164.163.74.82,"SERVFAIL,"
www.mnr.gov.cn,164.163.74.82,TIMEOUT
