dominio,resolvedor,status
vocesenlibertad.com,190.64.84.30,"NXDOMAIN,"
caminic.com,190.64.84.30,"NXDOMAIN,"
www.radiomaria.org.ni,190.64.84.30,"NXDOMAIN,"
asodenic.org.ni,190.64.84.30,"NXDOMAIN,"
grupovenancia.org,190.64.84.30,"NXDOMAIN,"
www.allactionhost.com/es-ni/web-hosting,190.64.84.30,"NXDOMAIN,"
apen.org.ni,190.64.84.30,"NXDOMAIN,"
puntos.org.ni,190.64.84.30,"NXDOMAIN,"
alpha66.org,190.64.84.30,"NXDOMAIN,"
www.alpha66.org,190.64.84.30,"NXDOMAIN,"
www.alpha66.org,190.64.84.30,"NXDOMAIN,"
www.abelsierramadero.com,190.64.84.30,"NXDOMAIN,"
www.consensocubano.org,190.64.84.30,"NXDOMAIN,"
https:911truth.org,190.64.84.30,"NXDOMAIN,"
alpha66.org,190.64.84.30,"NXDOMAIN,"
www.cubamemorial.net,190.64.84.30,"NXDOMAIN,"
www.miscelaneasdecuba.net,190.64.84.30,"NXDOMAIN,"
www.miscelaneasdecuba.net,190.64.84.30,"NXDOMAIN,"
miscelaneasdecuba.net,190.64.84.30,"NXDOMAIN,"
miscelaneasdecuba.net,190.64.84.30,"NXDOMAIN,"
casino.com,190.64.84.30,"NXDOMAIN,"
www.888casino.com,190.64.84.30,"NXDOMAIN,"
en-ville.orange.fr,190.64.84.30,"NXDOMAIN,"
example.domain.com,190.64.84.30,"NXDOMAIN,"
archivos.domain.com,190.64.84.30,"NXDOMAIN,"
docs.domain.com,190.64.84.30,"NXDOMAIN,"
www.sedem.org.gt,190.64.84.30,"NXDOMAIN,"
www.frmt.org,190.64.84.30,"NXDOMAIN,"
extratorrent.cc,190.64.84.30,"NXDOMAIN,"
www.serpaj.org,190.64.84.30,"NXDOMAIN,"
www.metacafe.com,190.64.84.30,"NXDOMAIN,"
www.atimes.com,190.64.84.30,"NXDOMAIN,"
www.asstr.org,190.64.84.30,"NXDOMAIN,"
www.topcities.com,190.64.84.30,"NXDOMAIN,"
www.elmundo.com.ve,190.64.84.30,"NXDOMAIN,"
www.religioustolerance.org,190.64.84.30,"NXDOMAIN,"
www.wikispaces.com,190.64.84.30,"NXDOMAIN,"
check.googlezip.net/connect,190.64.84.30,"NXDOMAIN,"
check.googlezip.net,190.64.84.30,"NXDOMAIN,"
bloquedearmas.com,190.64.84.30,"NXDOMAIN,"
extratorrent.cc,190.64.84.30,"NXDOMAIN,"
www.topcities.com,190.64.84.30,"NXDOMAIN,"
diariodecaracas.com,190.64.84.30,"NXDOMAIN,"
w3.ibm.com/developer/hacktoberfest,190.64.84.30,"NXDOMAIN,"
www.patria.org.ve,190.64.84.30,"NXDOMAIN,"
thepiratebay.se,190.64.84.30,"NXDOMAIN,"
www.fgmnetwork.org,190.64.84.30,"NXDOMAIN,"
www.kazaa.com,190.64.84.30,"NXDOMAIN,"
shareaza.com,190.64.84.30,"NXDOMAIN,"
www.malware.com,190.64.84.30,"NXDOMAIN,"
www.diariouno.net.ar,190.64.84.30,"NXDOMAIN,"
premiumhentaiclub.co,190.64.84.30,"NXDOMAIN,"
www.mapuchenative.com,190.64.84.30,"NXDOMAIN,"
www.bet365.com,190.64.84.30,"NXDOMAIN,"
www.juegaenlinea.com,190.64.84.30,"NXDOMAIN,"
www.diarioextra.com.ar,190.64.84.30,"NXDOMAIN,"
clarin.com.ar,190.64.84.30,"NXDOMAIN,"
www.serpaj.org,190.64.84.30,"NXDOMAIN,"
www.diarioaccion.com.ar,190.64.84.30,"NXDOMAIN,"
www.agendadelasmujeres.com.ar,190.64.84.30,"NXDOMAIN,"
www.cencoex.gob.ve,190.64.84.30,"NXDOMAIN,"
pwchyt.awsvpni.com,190.64.84.30,"NXDOMAIN,"
mariacorinamundo.com,190.64.84.30,"NXDOMAIN,"
comanditos.com,190.64.84.30,"NXDOMAIN,"
ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,190.64.84.30,"NXDOMAIN,"
notiviasve.com,190.64.84.30,"NXDOMAIN,"
cantv.net,190.64.84.30,"NXDOMAIN,"
cloudapp.net,190.64.84.30,"NXDOMAIN,"
blob.core.windows.net,190.64.84.30,"NXDOMAIN,"
azurewebsites.net,190.64.84.30,"NXDOMAIN,"
pelisplus.me,190.64.84.30,"NXDOMAIN,"
vamosganar.com,190.64.84.30,"NXDOMAIN,"
www.mariacorinapresidente.com,190.64.84.30,"NXDOMAIN,"
cdninstagram.com,190.64.84.30,"NXDOMAIN,"
www.cne.gob.ve,190.64.84.30,"NXDOMAIN,"
surbitcoin.com,190.64.84.30,"NXDOMAIN,"
partidounnuevotiempo.org,190.64.84.30,"NXDOMAIN,"
primariaexteriorve.com,190.64.84.30,"NXDOMAIN,"
primariaexteriorve.com,190.64.84.30,"NXDOMAIN,"
d3l0kqj5h9z9zs.cloudfront.net,190.64.84.30,"NXDOMAIN,"
www.museomarino.com/FalseAS6057200.40.53.104403,190.64.84.30,"NXDOMAIN,"
www.asambleanacional.gob.ve,190.64.84.30,"NXDOMAIN,"
www.zodiaccasino.com,190.64.84.30,"NXDOMAIN,"
