dominio,resolvedor,status
www.cencoex.gob.ve,190.64.84.30,TIMEOUT
pwchyt.awsvpni.com,190.64.84.30,"SERVFAIL,"
mariacorinamundo.com,190.64.84.30,"NOERROR,"
comanditos.com,190.64.84.30,"NOERROR,"
ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,190.64.84.30,"NOERROR,"
notiviasve.com,190.64.84.30,"NXDOMAIN,"
cantv.net,190.64.84.30,"NOERROR,"
cloudapp.net,190.64.84.30,"NOERROR,"
blob.core.windows.net,190.64.84.30,"NOERROR,"
azurewebsites.net,190.64.84.30,"NOERROR,"
pelisplus.me,190.64.84.30,"NOERROR,"
vamosganar.com,190.64.84.30,"SERVFAIL,"
www.mariacorinapresidente.com,190.64.84.30,"SERVFAIL,"
cdninstagram.com,190.64.84.30,"SERVFAIL,"
www.cne.gob.ve,190.64.84.30,TIMEOUT
surbitcoin.com,190.64.84.30,"SERVFAIL,"
partidounnuevotiempo.org,190.64.84.30,TIMEOUT
primariaexteriorve.com,190.64.84.30,"SERVFAIL,"
primariaexteriorve.com,190.64.84.30,"NOERROR,"
d3l0kqj5h9z9zs.cloudfront.net,190.64.84.30,"NOERROR,"
www.museomarino.com,190.64.84.30,TIMEOUT
www.partypoker.com,190.64.84.30,"NOERROR,"
www.goldenrivieracasino.com,190.64.84.30,"NOERROR,"
www.zodiaccasino.com,190.64.84.30,"NOERROR,"
www.zamba.co,190.64.84.30,"NOERROR,"
www.yukongoldcasino.eu,190.64.84.30,"NOERROR,"
www.yocasino.es,190.64.84.30,"NOERROR,"
www.yobingo.es,190.64.84.30,"NOERROR,"
www.yesbingo.co.uk,190.64.84.30,"NOERROR,"
www.yakocasino.com,190.64.84.30,"NOERROR,"
www.vivelasuerte.es,190.64.84.30,"NOERROR,"
www.virgingames.com,190.64.84.30,"NOERROR,"
www.villento.com,190.64.84.30,"NOERROR,"
www.videoslots.com,190.64.84.30,"NOERROR,"
