dominio,resolvedor,status
vocesenlibertad.com,200.35.79.41,TIMEOUT
caminic.com,200.35.79.41,TIMEOUT
www.radiomaria.org.ni,200.35.79.41,TIMEOUT
asodenic.org.ni,200.35.79.41,TIMEOUT
grupovenancia.org,200.35.79.41,TIMEOUT
www.allactionhost.comes-niweb-hosting,200.35.79.41,TIMEOUT
apen.org.ni,200.35.79.41,TIMEOUT
puntos.org.ni,200.35.79.41,TIMEOUT
root-key-sentinel-is-ta-38696.d2a8n3.rootcanary.net,200.35.79.41,TIMEOUT
root-key-sentinel-not-ta-20326.d2a8n3.rootcanary.net,200.35.79.41,TIMEOUT
bogus.d2a8n1.rootcanary.net,200.35.79.41,TIMEOUT
icq.com,200.35.79.41,TIMEOUT
alpha66.org,200.35.79.41,TIMEOUT
www.alpha66.org,200.35.79.41,TIMEOUT
www.alpha66.org,200.35.79.41,TIMEOUT
www.abelsierramadero.com,200.35.79.41,TIMEOUT
www.consensocubano.org,200.35.79.41,TIMEOUT
https:9truth.org,200.35.79.41,TIMEOUT
alpha66.org,200.35.79.41,TIMEOUT
www.cubamemorial.net,200.35.79.41,TIMEOUT
www.miscelaneasdecuba.net,200.35.79.41,TIMEOUT
www.miscelaneasdecuba.net,200.35.79.41,TIMEOUT
miscelaneasdecuba.net,200.35.79.41,TIMEOUT
miscelaneasdecuba.net,200.35.79.41,TIMEOUT
en-ville.orange.fr,200.35.79.41,TIMEOUT
example.domain.com,200.35.79.41,TIMEOUT
docs.domain.com,200.35.79.41,TIMEOUT
archivos.domain.com,200.35.79.41,TIMEOUT
www.sedem.org.gt,200.35.79.41,TIMEOUT
www.frmt.org,200.35.79.41,TIMEOUT
extratorrent.cc,200.35.79.41,TIMEOUT
www.serpaj.org,200.35.79.41,TIMEOUT
www.metacafe.com,200.35.79.41,TIMEOUT
www.atimes.com,200.35.79.41,TIMEOUT
www.asstr.org,200.35.79.41,TIMEOUT
bitcoin.sipa.be,200.35.79.41,TIMEOUT
www.topcities.com,200.35.79.41,TIMEOUT
www.elmundo.com.ve,200.35.79.41,TIMEOUT
www.religioustolerance.org,200.35.79.41,TIMEOUT
www.wikispaces.com,200.35.79.41,TIMEOUT
check.googlezip.net,200.35.79.41,TIMEOUT
check.googlezip.net,200.35.79.41,"NOERROR,"
bloquedearmas.com,200.35.79.41,"NOERROR,"
extratorrent.cc,200.35.79.41,"NOERROR,"
www.topcities.com,200.35.79.41,TIMEOUT
rates.airtm.io,200.35.79.41,"NXDOMAIN,"
diariodecaracas.com,200.35.79.41,"NOERROR,"
w3.ibm.com,200.35.79.41,"NOERROR,"
www.patria.org.ve,200.35.79.41,"NOERROR,"
thepiratebay.se,200.35.79.41,"NOERROR,"
www.fgmnetwork.org,200.35.79.41,TIMEOUT
www.kazaa.com,200.35.79.41,TIMEOUT
shareaza.com,200.35.79.41,TIMEOUT
www.malware.com,200.35.79.41,TIMEOUT
use-application-dns.net,200.35.79.41,"NOERROR,"
www.diariouno.net.ar,200.35.79.41,"NOERROR,"
premiumhentaiclub.co,200.35.79.41,"NOERROR,"
www.mapuchenative.com,200.35.79.41,TIMEOUT
tamtam.chat,200.35.79.41,"NOERROR,"
www.diarioextra.com.ar,200.35.79.41,TIMEOUT
clarin.com.ar,200.35.79.41,"NOERROR,"
mail.ru,200.35.79.41,"NOERROR,"
www.serpaj.org,200.35.79.41,TIMEOUT
www.diarioaccion.com.ar,200.35.79.41,TIMEOUT
www.agendadelasmujeres.com.ar,200.35.79.41,"NOERROR,"
www.cencoex.gob.ve,200.35.79.41,TIMEOUT
pwchyt.awsvpni.com,200.35.79.41,"NOERROR,"
mariacorinamundo.com,200.35.79.41,"NOERROR,"
comanditos.com,200.35.79.41,"NOERROR,"
notiviasve.com,200.35.79.41,"NOERROR,"
ooni.cloudflare-dns.comdns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,200.35.79.41,"NXDOMAIN,"
cantv.net,200.35.79.41,"NOERROR,"
cloudapp.net,200.35.79.41,"NOERROR,"
blob.core.windows.net,200.35.79.41,"NOERROR,"
azurewebsites.net,200.35.79.41,"NOERROR,"
pelisplus.me,200.35.79.41,TIMEOUT
vamosganar.com,200.35.79.41,TIMEOUT
www.mariacorinapresidente.com,200.35.79.41,TIMEOUT
cdninstagram.com,200.35.79.41,"NOERROR,"
www.cne.gob.ve,200.35.79.41,TIMEOUT
surbitcoin.com,200.35.79.41,TIMEOUT
www.teenhealthfx.com,200.35.79.41,TIMEOUT
partidounnuevotiempo.org,200.35.79.41,TIMEOUT
www.match.com,200.35.79.41,"NOERROR,"
primariaexteriorve.com,200.35.79.41,TIMEOUT
primariaexteriorve.com,200.35.79.41,"NOERROR,"
use-application-dns.net,200.35.79.41,"NOERROR,"
d3l0kqj5h9z9zs.cloudfront.net,200.35.79.41,"NOERROR,"
www.museomarino.com,200.35.79.41,TIMEOUT
www.shadowbet.com,200.35.79.41,"NXDOMAIN,"
tvhd.pe,200.35.79.41,"NOERROR,"
www.ragingbullcampaign.com,200.35.79.41,TIMEOUT
www.ragingbullcampaign.com,200.35.79.41,TIMEOUT
www.appzplanet.com,200.35.79.41,"NOERROR,"
www.lgbtimontevideo206.org,200.35.79.41,"NXDOMAIN,"
www.mnr.gov.cn,200.35.79.41,TIMEOUT
