measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108235841.158258_JM_webconnectivity_a6a901e62ef006d8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235722.314929_JM_webconnectivity_8ad5d6e22ac2f7b6,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235323.429585_JM_webconnectivity_8aaf9306d5a30e77,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235249.078017_JM_webconnectivity_831cd374a1b22dd4,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108235234.084564_JM_webconnectivity_3d7f7937d8d05b6f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108235219.741465_JM_webconnectivity_75f515a8f0e7d69a,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108235208.892671_JM_webconnectivity_7e457e6660fecfd0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108235124.397224_JM_webconnectivity_15a6880471e9ef59,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235122.793195_JM_webconnectivity_841875db4d927ed3,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235119.611404_JM_webconnectivity_8cefc34f699fd1cb,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108235117.990628_JM_webconnectivity_e5d2a64426867a1e,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234039.246274_JM_webconnectivity_9b62154b96d57914,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234038.165653_JM_webconnectivity_06bf1e1001462cb5,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234037.193224_JM_webconnectivity_61b5641bd05edd04,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234036.011954_JM_webconnectivity_b1d72474b04b6a1a,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234034.969431_JM_webconnectivity_a211e8582a1993a4,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234029.529082_JM_webconnectivity_c7453ce21e35ab5c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234027.387940_JM_webconnectivity_015c7526f421924b,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234026.406627_JM_webconnectivity_3ec8c33c1ae26fb2,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108234024.863868_JM_webconnectivity_0f9308176b1738d0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233809.621208_JM_webconnectivity_869bfa2eaaa30dbb,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233808.413745_JM_webconnectivity_b07304aa65a03de0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233657.135165_JM_webconnectivity_bb47fedf788dcd8e,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233635.705082_JM_webconnectivity_d749808901159270,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233631.664460_JM_webconnectivity_92d0b1708d5b3edd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233630.254494_JM_webconnectivity_f6d8cfb8d6b5b25c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233629.011007_JM_webconnectivity_29177e993920ed35,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233628.016453_JM_webconnectivity_987a34692444b1bb,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233626.787217_JM_webconnectivity_2d6e971c1beb11a5,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233625.761892_JM_webconnectivity_2b27e39aa90b25b8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233624.540267_JM_webconnectivity_83cb8731bf84f3e1,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233524.635232_JM_webconnectivity_96a0c3be5344c59f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233523.528226_JM_webconnectivity_1007c15d7a214625,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233522.001453_JM_webconnectivity_d961f118fd2d7fcd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233402.569082_JM_webconnectivity_54058da3e983218c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233401.029933_JM_webconnectivity_aeb1dd839f8721aa,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233320.169974_JM_webconnectivity_a87f0d74e765d8fa,None,generic_timeout_error,inconsistent,False,AS137409,83.219.96.131,200,208.83.242.49,"{'blocked': False, 'failure': None, 'success': True}"
20250108233201.186600_JM_webconnectivity_0ca20e4bd3e41791,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233158.947000_JM_webconnectivity_372e99059cba624d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233048.865489_JM_webconnectivity_fc40b2bfd7875d50,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108233043.567024_JM_webconnectivity_bb43742b78983511,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108232940.171051_JM_webconnectivity_89ada23a31eec1aa,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
