anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https:911truth.org/,2025-01-08T23:58:39Z,20250108235841.158258_JM_webconnectivity_a6a901e62ef006d8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235841.158258_JM_webconnectivity_a6a901e62ef006d8,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://alpha66.org/,2025-01-08T23:57:17Z,20250108235722.314929_JM_webconnectivity_8ad5d6e22ac2f7b6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235722.314929_JM_webconnectivity_8ad5d6e22ac2f7b6,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.cubamemorial.net/,2025-01-08T23:53:21Z,20250108235323.429585_JM_webconnectivity_8aaf9306d5a30e77,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235323.429585_JM_webconnectivity_8aaf9306d5a30e77,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.topdrawers.com/,2025-01-08T23:52:36Z,20250108235249.078017_JM_webconnectivity_831cd374a1b22dd4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235249.078017_JM_webconnectivity_831cd374a1b22dd4,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.feedtheminds.org/,2025-01-08T23:52:19Z,20250108235234.084564_JM_webconnectivity_3d7f7937d8d05b6f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235234.084564_JM_webconnectivity_3d7f7937d8d05b6f,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.hackhull.com/,2025-01-08T23:52:08Z,20250108235219.741465_JM_webconnectivity_75f515a8f0e7d69a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235219.741465_JM_webconnectivity_75f515a8f0e7d69a,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.westernunion.com/,2025-01-08T23:51:57Z,20250108235208.892671_JM_webconnectivity_7e457e6660fecfd0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235208.892671_JM_webconnectivity_7e457e6660fecfd0,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.miscelaneasdecuba.net/,2025-01-08T23:51:22Z,20250108235124.397224_JM_webconnectivity_15a6880471e9ef59,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235124.397224_JM_webconnectivity_15a6880471e9ef59,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.miscelaneasdecuba.net/,2025-01-08T23:51:19Z,20250108235122.793195_JM_webconnectivity_841875db4d927ed3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235122.793195_JM_webconnectivity_841875db4d927ed3,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://miscelaneasdecuba.net/,2025-01-08T23:51:17Z,20250108235119.611404_JM_webconnectivity_8cefc34f699fd1cb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235119.611404_JM_webconnectivity_8cefc34f699fd1cb,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://miscelaneasdecuba.net/,2025-01-08T23:51:14Z,20250108235117.990628_JM_webconnectivity_e5d2a64426867a1e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108235117.990628_JM_webconnectivity_e5d2a64426867a1e,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://en-ville.orange.fr/,2025-01-08T23:40:37Z,20250108234039.246274_JM_webconnectivity_9b62154b96d57914,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108234039.246274_JM_webconnectivity_9b62154b96d57914,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://example.domain.com/,2025-01-08T23:40:36Z,20250108234038.165653_JM_webconnectivity_06bf1e1001462cb5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108234038.165653_JM_webconnectivity_06bf1e1001462cb5,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://docs.domain.com/,2025-01-08T23:40:35Z,20250108234037.193224_JM_webconnectivity_61b5641bd05edd04,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20250108234037.193224_JM_webconnectivity_61b5641bd05edd04,AS137409,JM,20250108T181701Z_webconnectivity_JM_137409_n1_i71FxVi8HkCue3X2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
